,avg_wd_ct,avg_wd_ct,avg_wd_ct,avg_wd_ct,avg_wd_ct,avg_wd_ct,avg_wd_ct,avg_wd_ct
,count,mean,std,min,25%,50%,75%,max
source,,,,,,,,
Fox,661.0,20.082731746881432,66.36067867447184,1.0,15.272727272727273,17.35483870967742,19.708333333333332,1721.0
PBS,1739.0,17.99161516524818,3.700427104308728,4.333333333333333,15.46049896049896,17.9,20.27888888888889,34.88
Vox,1027.0,21.316835868557682,3.4280752066597624,6.0,19.142997125685916,21.25925925925926,23.471008403361346,33.95454545454545
