,Documents,Adjective Ratio,,Adverb Ratio,,descriptive_ratio,descriptive_ratio,descriptive_ratio,descriptive_ratio,descriptive_ratio,descriptive_ratio,descriptive_ratio,superlative_adj_ratio,superlative_adj_ratio,superlative_adj_ratio,superlative_adj_ratio,superlative_adj_ratio,superlative_adj_ratio,superlative_adj_ratio,superlative_adj_ratio,superlative_adv_ratio,superlative_adv_ratio,superlative_adv_ratio,superlative_adv_ratio,superlative_adv_ratio,superlative_adv_ratio,superlative_adv_ratio,superlative_adv_ratio,total_words,total_words,total_words,total_words,total_words,total_words,total_words,total_words
,,mean,std,mean,std,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fox,661,0.065737873,0.014907101,0.03379324,0.010337661,0.105132485,0.019909537,0,0.091796875,0.104125737,0.11809816,0.183838384,660,0.001653255,0.002004344,0,0,0.001179252,0.002673797,0.015706806,660,0.000430278,0.000981811,0,0,0,0,0.009823183,661,686.1815431,403.6148859,0,421,590,864,5081
PBS,1739,0.065924113,0.016326314,0.031578266,0.011356581,0.1042443,0.021439261,0,0.092292447,0.104591837,0.116595432,0.188449848,1739,0.001605863,0.002289153,0,0,0.000938967,0.002437049,0.01980198,1739,0.000342154,0.00091773,0,0,0,0,0.010638298,1739,654.2593445,492.7546242,48,249,614,906.5,5060
Vox,1027,0.072589981,0.014473217,0.045803272,0.010446058,0.129613397,0.021951004,0,0.115580917,0.128638498,0.142482503,0.211618257,1027,0.002422102,0.001862364,0,0.001119826,0.002284409,0.003258656,0.012024048,1027,0.0007325,0.001044588,0,0,0.000456413,0.001158749,0.014545455,1027,1332.795521,779.3046965,6,791.5,1211,1673.5,6126
