,token,count
470,idea,81
471,bills,81
472,less,81
473,andrew,81
474,life,80
475,someone,80
476,fellow,80
477,repeatedly,80
478,raised,79
479,laws,79
480,debate,79
481,crisis,79
482,record,79
483,text,79
484,medical,79
485,protect,79
486,claims,78
487,king,78
488,saudi,78
489,talking,78
490,sanctions,78
491,nation,78
492,using,78
493,anything,78
494,texas,78
495,nothing,78
496,bid,78
497,almost,78
498,step,78
499,freshman,78
500,alleged,78
501,project,77
502,willing,77
503,event,77
504,korean,77
505,bank,77
506,families,76
507,incumbent,76
508,speaking,76
509,rule,76
510,remains,76
511,hours,76
512,flynn,75
513,criticism,75
514,failed,75
515,june,75
516,sent,75
517,challenge,75
518,denied,75
519,gillibrand,75
520,cost,75
521,caucus,75
522,forward,75
523,probe,75
524,november,74
525,passed,74
526,comment,74
527,rashida,74
528,release,74
529,taken,74
530,meet,74
531,homeland,74
532,declare,74
533,cory,74
534,leading,74
535,groups,74
536,booker,73
537,international,73
538,service,73
539,opposition,73
540,bring,73
541,weeks,73
542,pence,72
543,schiff,72
544,trade,72
545,fire,72
546,wanted,72
547,start,72
548,page,72
549,role,72
550,facing,72
551,serve,72
552,system,72
553,key,72
554,nomination,71
555,voting,71
556,charged,71
557,sign,71
558,due,71
559,klobuchar,71
560,income,71
561,immediately,71
562,iowa,71
563,politics,71
564,source,70
565,strong,70
566,center,70
567,promised,70
568,services,70
569,considered,70
570,joined,70
571,based,70
572,barack,70
573,ask,70
574,behind,70
575,agreed,70
576,within,70
577,schumer,69
578,socialism,69
579,referring,69
580,noted,69
581,rather,69
582,agents,69
583,future,68
584,fact,68
585,spent,68
586,affairs,68
587,met,68
588,needed,68
589,steve,68
590,offered,68
591,claim,68
592,known,68
593,certain,68
594,payments,68
595,enough,68
596,july,68
597,controversial,67
598,telling,67
599,midterm,67
600,construction,67
601,trip,67
602,company,67
603,rally,67
604,chuck,67
605,let,67
606,multiple,67
607,finance,67
608,four,67
609,de,66
610,five,66
611,turned,66
612,meadows,66
613,congresswoman,66
614,additional,66
615,declared,66
616,find,66
617,means,66
618,package,66
619,global,66
620,position,66
621,george,66
622,replace,66
623,millions,66
624,thousands,66
625,described,66
626,pleaded,66
627,matter,66
628,korea,66
629,chris,66
630,kushner,65
631,minnesota,65
632,senators,65
633,january,65
634,endorsed,65
635,ran,65
636,pressure,65
637,activists,65
638,students,65
639,ongoing,65
640,planned,65
641,gubernatorial,64
642,exchange,64
643,protections,64
644,status,64
645,northam,64
646,particularly,64
647,similar,64
648,consider,64
649,maduro,63
650,countries,63
651,details,63
652,posted,63
653,dollars,63
654,field,63
655,speak,63
656,hope,63
657,defense,63
658,abrams,62
659,strzok,62
660,jobs,62
661,historic,62
662,jewish,62
663,measure,62
664,adding,62
665,organization,62
666,travel,62
667,emissions,62
668,remain,62
669,focus,62
670,line,62
671,gave,62
672,summit,62
673,middle,61
674,try,61
675,environmental,61
676,budget,61
677,bad,61
678,kavanaugh,61
679,economy,61
680,impact,61
681,needs,61
682,defeated,61
683,reform,61
684,supported,61
685,opportunity,61
686,regarding,61
687,final,61
688,prosecutors,61
689,cuomo,60
690,mccain,60
691,close,60
692,possibility,60
693,iran,60
694,victory,60
695,message,60
696,march,60
697,process,60
698,always,60
699,actions,60
700,book,60
701,police,59
702,mitch,59
703,customs,59
704,drug,59
705,return,59
706,showed,59
707,best,59
708,reduce,59
709,beto,59
710,forced,59
711,acknowledged,59
712,different,59
713,although,59
714,vowed,58
715,death,58
716,jeff,58
717,sides,58
718,cut,58
719,physical,58
720,movement,58
721,published,58
722,concerns,58
723,female,58
724,free,58
725,radical,58
726,critics,58
727,giving,58
728,sought,58
729,cited,57
730,officially,57
731,leave,57
732,collusion,57
733,today,57
734,makes,57
735,list,57
736,announcement,57
737,responded,57
738,kind,57
739,growing,57
740,men,57
741,offer,57
742,poll,57
743,term,57
