,token,count
464,needed,207
465,scott,206
466,emergency,206
467,described,206
468,previously,206
469,remains,205
470,civil,205
471,mitch,205
472,really,204
473,county,203
474,following,203
475,drug,203
476,woman,203
477,hours,203
478,epa,202
479,find,202
480,went,201
481,concerns,201
482,criticism,201
483,focus,201
484,behind,201
485,spokesman,200
486,agencies,200
487,calling,200
488,approved,200
489,union,199
490,texas,199
491,asylum,198
492,investigators,198
493,system,197
494,start,197
495,lawsuit,196
496,recently,196
497,things,196
498,comment,195
499,criticized,194
500,away,194
501,different,194
502,lost,193
503,cast,193
504,emails,193
505,alabama,192
506,review,192
507,pressure,192
508,aides,192
509,toward,192
510,despite,192
511,name,192
512,senator,191
513,southern,191
514,acting,191
515,florida,191
516,separate,191
517,companies,191
518,best,190
519,dollars,190
520,better,190
521,george,190
522,history,190
523,force,189
524,sign,189
525,added,189
526,minority,188
527,offered,188
528,giuliani,188
529,investigations,187
530,protection,187
531,similar,187
532,access,187
533,seats,186
534,lying,186
535,allowed,184
536,march,184
537,rally,184
538,pleaded,184
539,interference,184
540,gun,183
541,based,183
542,ballots,183
543,schumer,183
544,six,183
545,mark,183
546,largely,183
547,issued,183
548,men,182
549,bring,182
550,university,182
551,statements,182
552,millions,182
553,failed,181
554,release,181
555,involved,181
556,adding,181
557,debate,181
558,changes,180
559,ryan,180
560,getting,180
561,sarah,180
562,includes,180
563,troops,179
564,focused,179
565,scheduled,179
566,cut,178
567,claim,178
568,try,178
569,nuclear,178
570,matter,177
571,stop,177
572,previous,176
573,world,176
574,gave,176
575,forward,176
576,laws,176
577,speak,176
578,confirmed,176
579,writer,176
580,firing,175
581,fired,175
582,victory,175
583,charged,175
584,helped,175
585,barr,174
586,june,174
587,message,174
588,certain,174
589,planned,173
590,rule,173
591,proposal,173
592,november,173
593,rules,173
594,partial,173
595,services,173
596,increase,172
597,politics,172
598,liberal,172
599,leading,172
600,assault,172
601,met,171
602,city,170
603,amid,170
604,citizenship,169
605,san,169
606,someone,169
607,nancy,169
608,return,169
609,trial,169
610,testimony,169
611,leadership,168
612,list,168
613,pushed,167
614,always,167
615,considered,167
616,position,167
617,actually,167
618,countries,166
619,fraud,166
620,means,166
621,fire,165
622,seek,165
623,term,165
624,ban,165
625,instead,165
626,details,165
627,gates,165
628,west,165
629,longtime,165
630,cost,164
631,night,164
632,policies,164
633,authorized,164
634,panel,164
635,fund,164
636,hundreds,164
637,fact,163
638,short,163
639,investigating,161
640,actions,161
641,critical,161
642,travel,161
643,familiar,161
644,almost,161
645,interest,161
646,saturday,160
647,anything,160
648,rosenstein,160
649,real,160
650,independent,160
651,human,160
652,plea,160
653,watch,159
654,related,159
655,serve,159
656,especially,158
657,chance,158
658,service,158
659,push,158
660,meet,158
661,proposed,157
662,records,157
663,bush,157
664,attorneys,156
665,payments,156
666,misconduct,155
667,memo,155
668,either,155
669,ethics,155
670,races,155
671,growing,155
672,future,155
673,tell,155
674,finance,155
675,asking,154
676,justices,154
677,aide,154
678,america,154
679,large,154
680,everything,154
681,company,154
682,longer,153
683,room,153
684,huckabee,153
685,respond,153
686,declared,153
687,noted,152
688,international,152
689,offer,152
690,payment,152
691,forced,152
692,bills,152
693,war,151
694,pence,151
695,idea,151
696,continued,151
697,hard,151
698,series,151
699,hill,150
700,air,150
701,changed,150
702,talk,150
703,lower,150
704,talks,150
705,condition,150
706,unclear,149
707,believes,149
708,veterans,149
709,reached,149
710,appear,148
711,reason,148
712,results,148
713,impact,148
714,ballot,148
715,relationship,148
716,pardon,148
717,man,148
718,crime,148
719,july,147
720,quickly,147
721,turned,146
722,jobs,146
723,rejected,146
724,sure,146
725,head,145
726,meddling,144
727,attack,144
728,answer,144
729,ran,144
730,promised,144
731,false,144
732,collusion,143
733,arizona,143
734,environmental,143
735,hope,143
736,parties,142
737,central,142
738,leave,142
739,soon,141
740,influence,141
741,decided,141
742,newshour,141
743,turn,140
744,knew,140
745,thought,140
746,spokeswoman,140
747,anyone,140
748,tweets,140
749,shows,140
750,firm,139
751,stay,139
752,aimed,138
753,multiple,138
754,strategy,138
755,indictment,138
756,challenge,138
757,david,138
758,reform,138
759,joined,138
760,showed,138
761,numbers,138
762,package,138
763,fox,138
764,china,137
765,allies,137
766,commission,137
767,climate,137
768,abortion,137
769,kim,137
770,let,137
771,willing,137
772,authority,136
773,ruling,136
774,rick,136
775,thing,136
776,talking,136
777,kevin,136
778,event,136
779,rather,135
780,nation,135
781,employees,135
782,appeals,135
783,makes,135
784,adults,135
785,facing,135
786,taxes,135
787,reach,134
788,phone,134
789,consider,134
790,expressed,133
791,together,133
792,acknowledged,133
793,carolina,132
794,investigate,132
795,research,132
796,sides,132
797,economy,131
798,ongoing,131
799,attacks,131
800,eight,131
801,insurance,130
802,summit,130
803,income,130
804,opinion,130
805,appointed,129
806,refused,129
807,heard,129
808,organization,129
809,polls,129
810,attention,128
811,prison,128
812,oversight,128
813,line,128
814,police,128
815,opposition,128
816,tariffs,127
817,daca,127
818,significant,127
819,views,127
820,decades,127
821,currently,127
822,telling,127
823,due,126
824,partisan,126
825,needs,126
826,judges,126
827,obstruction,126
828,steve,126
829,block,126
830,ago,126
831,backed,126
832,affairs,126
833,cabinet,125
834,recount,125
835,andrew,125
836,small,125
837,decide,125
838,threat,125
839,joe,125
840,questioned,124
841,jones,124
842,third,124
843,subject,124
844,professor,124
845,involving,124
846,opportunity,123
847,raise,123
848,miles,123
849,negotiations,123
850,moderate,123
851,giving,123
852,discussed,123
853,daniels,122
854,kelly,122
855,october,122
856,background,122
857,referring,122
858,serious,122
859,live,122
860,kind,122
861,weekend,122
862,college,121
863,roy,121
864,faced,121
865,view,121
866,battle,121
867,video,121
868,accounts,121
869,dozen,121
870,bank,121
871,energy,121
872,russians,120
873,started,120
874,appears,120
875,specific,120
876,attempt,119
877,conversations,119
878,directly,119
879,holding,119
880,critics,119
881,total,119
882,stand,119
883,lobbying,119
884,visit,119
885,status,118
886,higher,118
887,result,118
888,immigrant,118
889,prevent,118
890,cuts,118
891,points,118
892,migrant,117
893,half,117
894,fully,117
895,particularly,117
896,signs,117
897,closed,117
898,january,117
899,claimed,116
900,read,116
901,cited,116
902,approach,116
903,filing,116
904,crimes,116
905,contacts,115
906,individual,115
907,opposed,115
908,inspector,115
909,difficult,115
910,amendment,115
911,middle,115
912,percentage,115
913,politically,115
914,required,114
915,fellow,114
916,potentially,114
917,whitaker,114
918,replace,114
919,bob,114
920,faces,114
921,avoid,114
922,customs,113
923,separation,113
924,hand,113
925,communications,113
926,messages,113
927,prepared,113
928,insisted,112
929,defended,112
930,margin,112
931,leaving,112
932,september,112
933,richard,112
934,medical,112
935,interviewed,112
936,briefing,112
937,announcement,112
938,created,112
939,demand,112
940,presidents,111
941,franken,111
942,referred,111
943,migrants,111
944,supported,111
945,serving,111
946,winning,111
947,ultimately,111
948,detention,110
949,transition,110
950,concern,110
951,seven,110
952,mean,110
953,rate,110
954,obtained,110
955,compromise,110
956,citing,110
957,testify,110
958,caucus,109
959,ordered,109
960,registered,109
961,ask,109
962,increasingly,109
963,internal,109
964,showing,109
965,approval,109
966,sanctions,108
967,supports,108
968,seemed,108
969,rod,108
970,interviews,108
971,appearance,108
972,felt,108
973,level,108
974,morning,108
975,share,108
976,ensure,107
977,requested,107
978,doubt,107
979,charge,107
980,situation,107
981,free,107
982,beyond,107
983,probably,107
984,bad,107
985,possibility,107
986,believed,107
987,child,106
988,agenda,106
989,secure,106
990,constitutional,106
991,roughly,106
992,female,106
993,hear,106
994,handling,106
995,begin,106
996,subpoena,106
997,pentagon,106
998,committed,106
999,declaration,105
1000,initial,105
1001,popular,105
1002,ability,105
1003,feel,105
1004,sexually,105
1005,stories,105
1006,side,105
1007,directed,105
1008,effect,104
1009,figure,104
1010,korea,104
1011,confidence,103
1012,flake,103
1013,defend,103
1014,fall,103
1015,protections,103
1016,jury,103
1017,coordination,103
1018,mayor,103
1019,construction,103
1020,korean,103
1021,session,103
1022,knowledge,103
1023,bannon,102
1024,file,102
1025,decisions,102
1026,kept,102
1027,require,102
1028,accusations,102
1029,lisa,102
1030,repeal,102
1031,compared,102
1032,single,102
1033,conversation,102
1034,mccabe,101
1035,hearings,101
1036,harassment,101
1037,saw,101
1038,stone,101
1039,promise,101
1040,urged,101
1041,building,101
1042,period,101
1043,ended,101
1044,front,101
1045,providing,100
1046,advance,100
1047,witnesses,100
1048,agree,100
1049,overhaul,100
1050,jim,100
1051,followed,100
1052,limit,100
1053,freedom,100
1054,anonymity,100
1055,crisis,100
1056,wait,99
1057,determine,99
1058,ways,99
1059,ruled,99
1060,divided,99
1061,speaking,99
1062,courts,99
1063,april,99
1064,account,99
1065,tough,99
1066,favor,99
1067,contact,99
1068,problems,98
1069,va,98
1070,patrol,98
1071,tom,98
1072,matthew,98
1073,joint,98
1074,considering,98
1075,behalf,98
1076,happened,98
1077,concerned,98
1078,drew,98
1079,wrong,98
1080,funds,98
1081,problem,97
1082,costs,97
1083,affordable,97
1084,global,97
1085,lied,97
1086,trip,97
1087,retired,97
1088,seems,97
1089,sentencing,97
1090,interests,97
1091,existing,97
1092,vladimir,97
1093,areas,96
1094,minnesota,96
1095,districts,96
1096,experts,96
1097,susan,96
1098,choice,96
1099,revealed,96
1100,allowing,96
1101,increased,96
1102,dismissed,96
1103,fighting,96
1104,warned,96
1105,judicial,96
1106,delay,95
1107,classified,95
1108,arguments,95
1109,add,95
1110,ukrainian,95
1111,grassley,95
1112,shift,95
1113,pointed,95
1114,amount,95
1115,risk,94
1116,violence,94
1117,largest,94
1118,citizens,94
1119,conspiracy,94
1120,measures,94
1121,incumbent,94
1122,highly,94
1123,caught,94
1124,biggest,94
1125,parts,94
1126,december,94
1127,life,94
1128,moved,94
1129,timeline,94
1130,questioning,94
1131,constitution,93
1132,kushner,93
1133,pushing,93
1134,activists,93
1135,chamber,93
1136,simply,93
1137,available,93
1138,project,93
1139,expect,93
1140,powerful,93
1141,inside,92
1142,blasey,92
1143,intended,92
1144,carried,92
1145,polling,92
1146,domestic,92
1147,words,92
1148,broke,92
1149,counties,92
1150,iran,91
1151,wisconsin,91
1152,hopes,91
1153,mostly,91
1154,responded,91
1155,christine,91
1156,kansas,91
1157,collins,91
1158,resigned,91
1159,thomas,91
1160,remained,91
1161,terms,91
1162,base,91
1163,fair,91
1164,bid,91
1165,moment,91
1166,resolution,91
1167,send,91
1168,true,90
1169,jersey,90
1170,identified,90
1171,allegation,90
1172,initially,90
1173,career,90
1174,oppose,90
1175,syria,90
1176,shut,90
1177,community,90
1178,summer,90
1179,book,89
1180,authorities,89
1181,direct,89
1182,deportation,89
1183,steps,89
1184,targeted,89
1185,indicated,89
1186,suggesting,89
1187,fake,89
1188,blame,89
1189,prominent,88
1190,agent,88
1191,events,88
1192,goal,88
1193,price,88
1194,stopped,88
1195,living,88
1196,drugs,88
1197,prosecutor,88
1198,neither,88
1199,takes,88
1200,witness,88
1201,published,88
1202,join,88
1203,suggest,88
1204,break,87
1205,lives,87
1206,delivered,87
1207,written,87
1208,conyers,87
1209,eric,87
1210,complete,87
1211,hotel,86
1212,removed,86
1213,individuals,86
1214,closely,86
1215,safety,86
1216,path,86
1217,aside,86
